t,price,production,soc,action,reward,cumulative_profit,total_soc,energy_charged,energy_discharged
34,-4.308,0.22036877,0.0,0,16.6155,0.0,0.0007345625952495266,0.22036877857485795,0.0
35,-4.48,1.7839141,0.0006611063,0,16.68,0.0,0.0066809429258766345,1.7839140991881322,0.0
36,-4.795,8.4179125,0.0060128486,0,16.798125000000002,0.0,0.03474065221505038,8.417912786752124,0.0
37,-5.11,7.0887685,0.03126659,0,16.916249999999998,0.0,0.05836988109014406,7.088768662528105,0.0
38,-5.425,5.9811487,0.052532893,0,17.034375,0.0,0.07830704295350435,5.98114855900809,0.0
39,-5.74,20.380209,0.07047634,0,17.1525,0.0,0.1462410759693987,20.380209904768304,0.0
40,-5.945,9.604554,0.13161696,0,17.229374999999997,0.0,0.17825625531076011,9.604553802408425,0.0
41,-6.15,10.011715,0.16043063,0,17.30625,0.0,0.2116286383949396,10.011714925253843,0.0
42,-6.355,16.55825,0.19046578,0,17.383125,0.0,0.26682280416086507,16.55824972977765,0.0
43,-6.56,17.525719,0.24014053,0,17.46,0.0,0.32524186855973863,17.525719319662063,0.0
44,-6.48,13.956014,0.2927177,0,17.43,0.0,0.3717619129075793,13.956013304352204,0.0
45,-6.4,15.285157,0.33458573,0,17.4,0.0,0.42271243766950006,15.285157428576223,0.0
46,-6.32,10.633153,0.3804412,0,17.369999999999997,0.0,0.45815628098214056,10.633152993792157,0.0
47,-6.24,11.297725,0.41234064,0,17.34,0.0,0.4958153645018211,11.297725055904166,0.0
48,-5.12,12.183821,0.44623384,0,16.919999999999998,0.0,0.5364281016308884,12.183821138720184,0.0
49,-4.0,14.399061,0.48278528,0,16.5,0.0,0.5844249727834224,14.399061345760215,0.0
50,-2.88,11.076201,0.5259825,0,16.080000000000002,0.0,0.6213456429007563,11.076201035200166,0.0
51,-1.76,19.715637,0.5592111,0,15.66,0.0,0.6870644357096106,19.715637842656292,0.0
52,4.04,21.044783,0.618358,0,13.485,0.0,0.757213708932545,21.04478196688031,0.0
53,9.84,42.53261,0.6814923,0,11.309999999999999,0.0,0.8989890821831071,42.53261197516863,0.0
54,15.64,53.608814,0.8090902,0,9.135,0.0,1.0776851255510032,53.60881301036879,0.0
55,21.44,34.77927,0.96991664,1,0.7456675756113316,0.7456675756113316,1.0776851255510032,0.0,0.0
56,29.422,36.108414,0.96991664,1,1.0623817971559693,1.8080493727673008,1.0776851255510032,0.0,0.0
57,37.405,42.31109,0.96991664,1,1.5826462449367495,3.3906956177040506,1.0776851255510032,0.0,0.0
58,45.388,44.52633,0.96991664,1,2.020960982594373,5.411656600298423,1.0776851255510032,0.0,0.0
59,53.37,37.659084,0.96991664,1,7.307615665892513,7.421521887743774,1.0776851255510032,0.0,0.0
60,57.767,25.253738,0.96991664,1,1.8938314081884937,8.880354591600703,1.0776851255510032,0.0,0.0
61,62.165,14.177537,0.96991664,1,0.8813466079544481,9.761701199412823,1.0776851255510032,0.0,0.0
62,66.562,11.297725,0.96991664,1,0.751999175171093,10.513700374583916,1.0776851255510032,0.0,0.0
63,70.96,7.974865,0.96991664,1,0.5658964023296185,11.079596776913535,1.0776851255510032,0.0,0.0
130,116.308,0.22029819,0.96991664,2,26.19492244167461,37.274519218588146,1.8276851255510032,0.0,225.0
131,119.02,3.3437662,0.13658328,2,5.274817629360692,42.54933684794884,1.9642684052135726,0.0,40.974983898770866
132,123.14,4.294654,0.0,2,0.5288436792909699,43.07818052723981,1.9642684052135726,0.0,0.0
133,127.26,7.4296064,0.0,2,0.9454917411546739,44.023672268394485,1.9642684052135726,0.0,0.0
134,131.38,8.063162,0.0,2,1.0593382071039665,45.083010475498455,1.9642684052135726,0.0,0.0
135,135.5,9.589405,0.0,2,1.2993643335057528,46.382374809004205,1.9642684052135726,0.0,0.0
136,133.252,10.790692,0.0,2,1.43788132602751,47.82025613503171,1.9642684052135726,0.0,0.0
137,131.005,13.634956,0.0,2,1.786247420080868,49.60650355511258,1.9642684052135726,0.0,0.0
138,128.757,16.84421,0.0,1,2.168809930440401,51.775313485552985,1.9642684052135726,0.0,0.0
139,126.51,15.971675,0.0,1,2.020576627664909,53.795890113217894,1.9642684052135726,0.0,0.0
140,124.778,16.614302,0.0,1,2.0730993191553098,55.868989432373205,1.9642684052135726,0.0,0.0
141,123.045,18.16497,0.0,1,2.235108696456975,58.10409812883018,1.9642684052135726,0.0,0.0
142,121.312,20.158686,0.0,1,2.4454905019676083,60.549588630797786,1.9642684052135726,0.0,0.0
143,119.58,17.500397,0.0,1,2.0926975492669926,62.64228618006478,1.9642684052135726,0.0,0.0
144,123.01,21.709354,0.0,1,2.670467639106346,65.31275381917112,1.9642684052135726,0.0,0.0
145,126.44,25.253738,0.0,1,3.193082678270816,68.50583649744193,1.9642684052135726,0.0,0.0
146,129.87,19.494114,0.0,1,2.531700562056944,71.03753705949887,1.9642684052135726,0.0,0.0
147,133.3,20.823257,0.0,1,2.7757402842253023,73.81327734372418,1.9642684052135726,0.0,0.0
148,135.808,18.829542,0.0,1,2.5572024073203883,76.37047975104457,1.9642684052135726,0.0,0.0
149,138.315,20.158686,0.0,1,2.7882486380543536,79.15872838909893,1.9642684052135726,0.0,0.0
150,140.823,17.721922,0.0,1,2.495654173407989,81.65438256250691,1.9642684052135726,0.0,0.0
151,143.33,12.183821,0.0,2,1.7463070838127641,83.40068964631968,1.9642684052135726,0.0,0.0
152,144.94,11.076201,0.0,2,1.605384578041912,85.00607422436158,1.9642684052135726,0.0,0.0
153,146.55,10.411629,0.0,2,1.5258242260060693,86.53189845036765,1.9642684052135726,0.0,0.0
154,148.16,7.3102927,0.0,2,1.0830929639476692,87.61499141431531,1.9642684052135726,0.0,0.0
155,149.77,3.7659082,0.0,2,0.5640200938742559,88.17901150818957,1.9642684052135726,0.0,0.0
156,153.385,1.5506681,0.0,2,0.23784923340978484,88.41686074159936,1.9642684052135726,0.0,0.0
157,157.0,0.88609606,0.0,2,0.13911708500211406,88.55597782660148,1.9642684052135726,0.0,0.0
226,171.877,1.7721921,0.0,2,0.3045990728523358,88.86057689945382,1.9642684052135726,0.0,0.0
227,170.46,5.9811487,0.0,2,1.019546583368519,89.88012348282234,1.9642684052135726,0.0,0.0
228,170.11,2.8798122,0.0,2,0.4898848651054541,90.3700083479278,1.9642684052135726,0.0,0.0
229,169.76,4.4304805,0.0,2,0.752118355094232,91.12212670302202,1.9642684052135726,0.0,0.0
230,169.41,6.6457205,0.0,2,1.1258515304239558,92.24797823344598,1.9642684052135726,0.0,0.0
231,169.06,8.4179125,0.0,2,1.423132335728314,93.67111056917429,1.9642684052135726,0.0,0.0
232,168.977,7.3102927,0.0,2,1.2352713267345121,94.9063818959088,1.9642684052135726,0.0,0.0
233,168.895,6.2026725,0.0,2,1.047600385350474,95.95398228125927,1.9642684052135726,0.0,0.0
234,168.812,8.639437,0.0,2,1.4584406063402844,97.41242288759956,1.9642684052135726,0.0,0.0
235,168.73,5.9811487,0.0,2,1.0091991963614348,98.421622083961,1.9642684052135726,0.0,0.0
236,169.435,5.0950522,0.0,2,0.8632802163036042,99.2849023002646,1.9642684052135726,0.0,0.0
237,170.14,10.411629,0.0,2,1.7714345534812181,101.05633685374582,1.9642684052135726,0.0,0.0
238,170.845,18.829542,0.0,1,3.216933061959912,104.27326991570573,1.9642684052135726,0.0,0.0
239,171.55,25.032215,0.0,1,4.294276369950208,108.56754628565594,1.9642684052135726,0.0,0.0
240,172.228,24.589167,0.0,1,4.234942933196809,112.80248921885274,1.9642684052135726,0.0,0.0
241,172.905,31.456411,0.0,1,5.438970733575248,118.24145995242799,1.9642684052135726,0.0,0.0
242,173.582,38.766705,0.0,1,6.729201948322404,124.97066190075039,1.9642684052135726,0.0,0.0
243,174.26,34.336224,0.0,1,5.983430256421341,130.95409215717171,1.9642684052135726,0.0,0.0
244,175.947,18.386494,0.0,2,3.2350484102770034,134.18914056744873,1.9642684052135726,0.0,0.0
245,177.635,40.538895,0.0,1,7.201126753449281,141.390267320898,1.9642684052135726,0.0,0.0
246,179.322,70.66616,0.0,1,12.671997610577966,154.06226493147597,1.9642684052135726,0.0,0.0
247,181.01,60.25453,0.0,1,10.906673132635804,164.96893806411177,1.9642684052135726,0.0,0.0
248,181.257,46.963093,0.0,1,8.512389237198052,173.48132730130982,1.9642684052135726,0.0,0.0
249,181.505,28.13355,0.0,1,5.106380106990776,178.5877074083006,1.9642684052135726,0.0,0.0
250,181.752,13.734489,0.0,2,2.496270896281628,181.08397830458222,1.9642684052135726,0.0,0.0
251,182.0,9.968581,0.0,2,1.8142817295657871,182.898260034148,1.9642684052135726,0.0,0.0
252,184.843,11.519249,0.0,2,2.129252557067484,185.02751259121547,1.9642684052135726,0.0,0.0
253,187.685,11.519249,0.0,2,2.1619902629432044,187.18950285415866,1.9642684052135726,0.0,0.0
254,190.528,4.4304805,0.0,2,0.8441305723338466,188.03363342649251,1.9642684052135726,0.0,0.0
255,193.37,7.7533407,0.0,2,1.4992634959236586,189.53289692241617,1.9642684052135726,0.0,0.0
322,62.898,1.1076201,0.0,2,0.069667089271202,189.60256401168738,1.9642684052135726,0.0,0.0
323,59.21,2.8798122,0.0,2,0.17051368445649248,189.77307769614387,1.9642684052135726,0.0,0.0
324,59.972,8.132045,0.0,1,0.4877807127462831,190.26077270906106,1.9642684052135726,0.0,0.0
325,60.735,10.550521,0.0,1,0.640787320280761,190.90155858719862,1.9642684052135726,0.0,0.0
326,61.498,25.714502,0.0,1,1.5813904617912014,192.48294903543157,1.9642684052135726,0.0,0.0
327,62.26,28.17144,0.0,1,1.7539538482283126,194.23690288358816,1.9642684052135726,0.0,0.0
328,62.395,11.968316,0.0,1,0.7467630869425526,194.98366597050403,1.9642684052135726,0.0,0.0
329,62.53,27.023632,0.0,1,1.689787714656718,196.673453685151,1.9642684052135726,0.0,0.0
330,62.665,10.49765,0.0,1,0.657835266188286,197.3312889513358,1.9642684052135726,0.0,0.0
331,62.8,13.752927,0.0,1,0.8636837800169687,198.19497273135156,1.9642684052135726,0.0,0.0
332,61.98,43.208023,0.0,1,2.6780333782258836,200.87300610905078,1.9642684052135726,0.0,0.0
333,61.16,42.327995,0.0,1,2.588780315217998,203.46178630912308,1.9642684052135726,0.0,0.0
334,60.34,67.37673,0.0,1,4.065524793373392,207.527298251224,1.9642684052135726,0.0,0.0
335,59.52,76.42859,0.0,1,4.549761716230063,212.07632777541244,1.9642684052135726,0.0,0.0
336,60.135,114.937485,0.0,1,6.911803366194783,218.98809353685874,1.9642684052135726,0.0,0.0
337,60.75,331.03488,0.0,0,6.441618959999999,225.42971249685874,2.7142684052135726,225.0,0.0
338,61.365,146.40074,0.675,1,8.983881895719366,234.41359436068512,2.7142684052135726,0.0,0.0
339,61.98,118.35333,0.675,1,7.335539379579886,241.74913373973834,2.7142684052135726,0.0,0.0
340,62.627,108.16261,0.675,1,6.773899939331166,248.52303367906484,2.7142684052135726,0.0,0.0
341,63.275,100.46167,0.675,1,6.35671205865254,254.87974573771734,2.7142684052135726,0.0,0.0
342,63.922,83.675316,0.675,1,5.348693678827948,260.2284394165453,2.7142684052135726,0.0,0.0
343,64.57,77.28858,0.675,1,4.990523741219919,265.21896315776524,2.7142684052135726,0.0,0.0
344,63.44,76.470985,0.675,1,4.851319246093797,270.07028240385904,2.7142684052135726,0.0,0.0
345,62.31,50.314365,0.675,1,3.1350881990497284,273.2053706028589,2.7142684052135726,0.0,0.0
346,61.18,46.10249,0.675,1,2.820550452501741,276.0259209535822,2.7142684052135726,0.0,0.0
347,60.05,53.47245,0.675,1,3.211078509595288,279.236941489282,2.7142684052135726,0.0,0.0
348,61.79,24.950115,0.675,1,1.541667632261534,280.7786091195953,2.7142684052135726,0.0,0.0
